GPU Memory Track | 07-May-24-20:06:11 | Total Tensor Used Memory:16302.9Mb Total Allocated Memory:16415.8Mb

+ | 80 * Size:(1280, 1280, 3, 3)   | Memory: 4500.0 M | <class 'torch.Tensor'> | torch.float32
+ | 20 * Size:(1280, 2560, 3, 3)   | Memory: 2250.0 M | <class 'torch.Tensor'> | torch.float32
+ | 248 * Size:(1280, 1280)         | Memory: 1550.0 M | <class 'torch.Tensor'> | torch.float32
+ | 24 * Size:(10240, 1280)        | Memory: 1200.0 M | <class 'torch.Tensor'> | torch.float32
+ | 24 * Size:(1280, 5120)         | Memory: 600.0 M | <class 'torch.Tensor'> | torch.float32
+ | 190 * Size:(1280, 1280)         | Memory: 593.75 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 20 * Size:(1280, 1280, 3, 3)   | Memory: 562.5 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 38 * Size:(1280, 5120)         | Memory: 475.0 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 32 * Size:(640, 640, 3, 3)     | Memory: 450.0 M | <class 'torch.Tensor'> | torch.float32
+ | 32 * Size:(5120, 1280)         | Memory: 400.0 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 4 * Size:(1280, 1920, 3, 3)   | Memory: 337.5 M | <class 'torch.Tensor'> | torch.float32
+ | 5 * Size:(1280, 2560, 3, 3)   | Memory: 281.25 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 20 * Size:(1280, 2560, 1, 1)   | Memory: 250.0 M | <class 'torch.Tensor'> | torch.float32
+ | 20 * Size:(5120, 640)          | Memory: 250.0 M | <class 'torch.Tensor'> | torch.float32
+ | 160 * Size:(640, 640)           | Memory: 250.0 M | <class 'torch.Tensor'> | torch.float32
+ | 48 * Size:(1280, 1024)         | Memory: 240.0 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(640, 1920, 3, 3)    | Memory: 168.75 M | <class 'torch.Tensor'> | torch.float32
+ | 6 * Size:(10240, 1280)        | Memory: 150.0 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 30 * Size:(512, 512, 3, 3)     | Memory: 135.0 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 20 * Size:(640, 2560)          | Memory: 125.0 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(640, 1280, 3, 3)    | Memory: 112.5 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(1280, 640, 3, 3)    | Memory: 112.5 M | <class 'torch.Tensor'> | torch.float32
+ | 32 * Size:(320, 320, 3, 3)     | Memory: 112.5 M | <class 'torch.Tensor'> | torch.float32
+ | 40 * Size:(640, 1024)          | Memory: 100.0 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(640, 960, 3, 3)     | Memory: 84.375 M | <class 'torch.Tensor'> | torch.float32
+ | 20 * Size:(2560, 320)          | Memory: 62.5 M | <class 'torch.Tensor'> | torch.float32
+ | 160 * Size:(320, 320)           | Memory: 62.5 M | <class 'torch.Tensor'> | torch.float32
+ | 20 * Size:(640, 1280)          | Memory: 62.5 M | <class 'torch.Tensor'> | torch.float32
+ | 40 * Size:(320, 1280)          | Memory: 62.5 M | <class 'torch.Tensor'> | torch.float32
+ | 8 * Size:(320, 640, 3, 3)     | Memory: 56.25 M | <class 'torch.Tensor'> | torch.float32
+ | 8 * Size:(640, 640, 3, 3)     | Memory: 56.25 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 40 * Size:(320, 1024)          | Memory: 50.0 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(320, 960, 3, 3)     | Memory: 42.187 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1280, 1920, 3, 3)   | Memory: 42.187 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 4 * Size:(1280, 2048)         | Memory: 40.0 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(1280, 1920, 1, 1)   | Memory: 37.5 M | <class 'torch.Tensor'> | torch.float32
+ | 40 * Size:(640, 640)           | Memory: 31.25 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 5 * Size:(5120, 640)          | Memory: 31.25 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 5 * Size:(1280, 2560, 1, 1)   | Memory: 31.25 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 12 * Size:(1280, 1024)         | Memory: 30.0 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 4 * Size:(640, 320, 3, 3)     | Memory: 28.125 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(640, 1920, 3, 3)    | Memory: 21.093 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 4 * Size:(640, 1920, 1, 1)    | Memory: 18.75 M | <class 'torch.Tensor'> | torch.float32
+ | 5 * Size:(640, 2560)          | Memory: 15.625 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 1 * Size:(1280, 640, 3, 3)    | Memory: 14.062 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 1 * Size:(640, 1280, 3, 3)    | Memory: 14.062 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 8 * Size:(320, 320, 3, 3)     | Memory: 14.062 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 4 * Size:(640, 1280, 1, 1)    | Memory: 12.5 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(1280, 640, 1, 1)    | Memory: 12.5 M | <class 'torch.Tensor'> | torch.float32
+ | 10 * Size:(640, 1024)          | Memory: 12.5 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 10 * Size:(256, 256, 3, 3)     | Memory: 11.25 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 1 * Size:(640, 960, 3, 3)     | Memory: 10.546 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 4 * Size:(640, 960, 1, 1)     | Memory: 9.375 M | <class 'torch.Tensor'> | torch.float32
+ | 10 * Size:(320, 1280)          | Memory: 7.8125 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 5 * Size:(2560, 320)          | Memory: 7.8125 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 5 * Size:(640, 1280)          | Memory: 7.8125 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 40 * Size:(320, 320)           | Memory: 7.8125 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 2 * Size:(320, 640, 3, 3)     | Memory: 7.0312 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 4 * Size:(1280, 320)          | Memory: 6.25 M | <class 'torch.Tensor'> | torch.float32
+ | 8 * Size:(320, 640, 1, 1)     | Memory: 6.25 M | <class 'torch.Tensor'> | torch.float32
+ | 10 * Size:(320, 1024)          | Memory: 6.25 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 1 * Size:(320, 960, 3, 3)     | Memory: 5.2734 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 1 * Size:(1280, 2048)         | Memory: 5.0 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 1 * Size:(1280, 1920, 1, 1)   | Memory: 4.6875 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 4 * Size:(320, 960, 1, 1)     | Memory: 4.6875 M | <class 'torch.Tensor'> | torch.float32
+ | 8 * Size:(512, 512)           | Memory: 4.0 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 1 * Size:(640, 320, 3, 3)     | Memory: 3.5156 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 656 * Size:(1280,)              | Memory: 3.2031 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(640, 320, 1, 1)     | Memory: 3.125 M | <class 'torch.Tensor'> | torch.float32
+ | 10 * Size:(128, 128, 3, 3)     | Memory: 2.8125 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 1 * Size:(1024, 1280)         | Memory: 2.5 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 1 * Size:(640, 1920, 1, 1)    | Memory: 2.3437 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 1 * Size:(512, 256, 3, 3)     | Memory: 2.25 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 1 * Size:(256, 512, 3, 3)     | Memory: 2.25 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 1 * Size:(1280, 640, 1, 1)    | Memory: 1.5625 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 1 * Size:(640, 1280, 1, 1)    | Memory: 1.5625 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 1 * Size:(1280, 3, 14, 14)    | Memory: 1.4355 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 1 * Size:(640, 960, 1, 1)     | Memory: 1.1718 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 457 * Size:(1280,)              | Memory: 1.1157 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 416 * Size:(640,)               | Memory: 1.0156 M | <class 'torch.Tensor'> | torch.float32
+ | 24 * Size:(10240,)             | Memory: 0.9375 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1280, 320)          | Memory: 0.7812 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 2 * Size:(320, 640, 1, 1)     | Memory: 0.7812 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 1 * Size:(257, 1280)          | Memory: 0.6274 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 60 * Size:(2560,)              | Memory: 0.5859 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(320, 960, 1, 1)     | Memory: 0.5859 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 1 * Size:(256, 128, 3, 3)     | Memory: 0.5625 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 1 * Size:(128, 256, 3, 3)     | Memory: 0.5625 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 412 * Size:(320,)               | Memory: 0.5029 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(640, 320, 1, 1)     | Memory: 0.3906 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 20 * Size:(5120,)              | Memory: 0.3906 M | <class 'torch.Tensor'> | torch.float32
+ | 37 * Size:(5120,)              | Memory: 0.3613 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 4 * Size:(320, 8, 3, 3)       | Memory: 0.3515 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(512, 256, 1, 1)     | Memory: 0.25 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 1 * Size:(256, 512, 1, 1)     | Memory: 0.25 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 4 * Size:(4, 320, 3, 3)       | Memory: 0.1757 M | <class 'torch.Tensor'> | torch.float32
+ | 104 * Size:(640,)               | Memory: 0.1269 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 16 * Size:(1920,)              | Memory: 0.1171 M | <class 'torch.Tensor'> | torch.float32
+ | 6 * Size:(10240,)             | Memory: 0.1171 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 103 * Size:(512,)               | Memory: 0.1005 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 15 * Size:(2560,)              | Memory: 0.0732 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 1 * Size:(8, 512, 3, 3)       | Memory: 0.0703 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 103 * Size:(320,)               | Memory: 0.0628 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 1 * Size:(256, 128, 1, 1)     | Memory: 0.0625 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
